"name","area","WDPAid","patchRichness","nPatches","stddev_WC","mean_WC","analysis_scale","shortName","fullName","country","latitude","longitude","Notes","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","nLocomotor","nTrophic"
"National Park Mavinga",5631.43710031837,5081,8,27247,0.0992327520816971,0.597310927300378,100,"Mavinga PR","Mavinga Partial Reserve","Angola",-15.5,20.93,"",48,48,9.24981768537402e-07,0.245927495326894,0.893477560891276,0.646395480943464,0.155806448290479,0.0274889944940751,89632.91515625,2.68888888888889,2.86666666666667,3.86666666666667,3.77777777777778,3.28888888888889,3.82222222222222,3.35555555555556,3.28888888888889,4,0,1,0,0,5,17
"Kabore-Tambi",1521.65251956281,1049,7,7599,0.0623961496784359,0.317838640354634,100,"Kabore-Tambi NP","Kabore-Tambi National Park","Burkina Faso",11.5,-1.25,"",40,40,1.87570852329071e-06,0.245927495326894,0.934570425595875,0.660327684921029,0.166808091564923,0.0321713600717539,51119.2984375,2.6,2.925,3.825,3.775,3.15,3.875,3.3,2.95,4,0,1,0,0,4,15
"Deux Bales",886.881014112113,2344,10,5684,0.0683722555584921,0.397440721320907,100,"Deux Bales","Deux Bales ","Burkina Faso",11.5550814,-2.9775558,"",41,41,2.00380408775592e-06,0.245927495326894,0.911608979875363,0.661118847465354,0.172760091534586,0.0348891028853129,128746.241158537,2.5609756097561,2.8780487804878,3.82926829268293,3.78048780487805,3.09756097560976,3.80487804878049,3.31707317073171,2.92682926829268,4,0,1,0,0,4,14
"W du Burkina Faso",2438.55283270317,1048,9,10044,0.0772350720862575,0.249135290038462,100,"W du Burkina Faso NP","W du Burkina Faso National Park","Burkina Faso",11.91,2.2,"",44,44,2.13696884233695e-06,0.245927495326894,0.917752377334751,0.658938288584292,0.169415091341001,0.0331225900021856,172550.011761364,2.62790697674419,3,3.83720930232558,3.7906976744186,3.13953488372093,3.81395348837209,3.27906976744186,2.88372093023256,4,0,1,0,0,4,15
"Ai-Ais Hot Springs",4360.58900964402,8785,12,12757,0.0424785832205593,0.0309634284750194,100,"Ai-Ais Hot Spring","Ai-Ais Hot Spring Game Park","Namibia",-27.91,17.15,"",29,29,7.01705730672255e-08,0.245927495326894,0.846088043161891,0.693565719931036,0.173979786804217,0.0323978759003265,21668.7806896552,2.55172413793103,2.55172413793103,3.89655172413793,3.79310344827586,3.3448275862069,3.82758620689655,3.17241379310345,3.20689655172414,4,0,1,0,0,4,10
"Mudumu",718.040758368598,30051,7,3955,0.0618591053783222,0.410450609997958,100,"Mudumu NP","Mudumu National Park","Namibia",-18.09,23.53,"",53,53,2.14228621171041e-07,0.245927495326894,0.936204268139369,0.669700924490721,0.163997954502874,0.0298614171310461,185294.28504717,2.72,2.84,3.86,3.8,3.2,3.72,3.34,3.22,4,0,1,0,0,4,16
"Banc d'Arguin",11910.1013656985,797,7,1747,NA,NA,100,"Banc d'Arguin","Banc d'Arguin","Mauritania",20.23,-16.11,"",8,8,7.68394641158135e-12,0.245927495326894,0.984245943868474,0.661945975708323,0.142234909919876,0.0232645148403628,23042.33375,2.5,2.625,3.625,4,3.375,4,3.57142857142857,3.57142857142857,4,0,1,0,0,3,6
"Skeleton Coast Park",16885.5508913259,885,8,2369,0.0280312581885137,0.0228803271510611,100,"Skeleton Coast Park","Skeleton Coast Park","Namibia",-19.17,12.84,"",25,25,1.52506750988783e-07,0.245927495326894,0.913383643124736,0.673194834379899,0.179855543476212,0.0371780177271246,242305.1272,2.45833333333333,2.83333333333333,3.75,4,3.25,3.70833333333333,3.04166666666667,3.16666666666667,4,0,1,0,0,5,12
"Namib-Naukluft",50876.2402257201,883,10,22343,0.02277607713113,0.0170642875591522,100,"Namib Naukluft GR","Namib Naukluft Game Reserve","Namibia",-24.58,15.43,"",34,34,8.27797265509425e-08,0.245927495326894,0.819072039261539,0.684862203144739,0.164563218213983,0.0289992793000345,35688.9770588235,2.64705882352941,2.67647058823529,3.85294117647059,3.88235294117647,3.29411764705882,3.70588235294118,3.29411764705882,3.17647058823529,4,0,1,0,0,3,14
"Etosha",23011.8862932174,884,11,52171,0.133612084290956,0.17887816584355,100,"Etosha NP","Etosha National Park","Namibia",-19,15.75,"",44,44,2.54375070767261e-07,0.245927495326894,0.85214835913583,0.669581331786802,0.158480716496903,0.0270386020770144,173689.768125,2.70731707317073,2.8780487804878,3.92682926829268,3.90243902439024,3.46341463414634,3.68292682926829,3.17073170731707,3.02439024390244,4,0,1,0,0,3,14
"Waterberg Plateau Park",396.888414536016,887,9,2626,0.0439339646942287,0.437878608231687,100,"Waterberg Plateau","Waterberg Plateau Park","Namibia",-20.44,17.25,"",39,39,1.18712760022208e-07,0.245927495326894,0.87783350385137,0.67875781509696,0.157621104601593,0.0269139563460567,53307.0668589744,2.68421052631579,2.65789473684211,3.86842105263158,3.89473684210526,3.36842105263158,3.73684210526316,3.39473684210526,3.18421052631579,4,0,1,0,0,3,14
"Nkasa Rupara",338.772203951884,30052,9,2572,0.0640438238441371,0.439485040685188,100,"Mamili/Nkasa Rupara","Mamili (Nkasa Rupara) National Preserve","Namibia",-18.41,23.68,"",53,53,2.07125396281444e-07,0.245927495326894,0.917011982932619,0.669248037502252,0.161455359887597,0.0288753957496129,160942.442783019,2.72,2.84,3.88,3.8,3.2,3.72,3.34,3.22,4,0,1,0,0,4,16
"Daan Viljoen Game Park",40.0718663414971,1362,2,72,0.0344667575325396,0.206496582565121,100,"Daan Viljoen GP","Daan Viljoen Game Park","Namibia",-22.53,16.96,"",32,32,9.31221729310327e-08,0.245927495326894,0.85081812777748,0.671962347172001,0.163057145143249,0.0289382769378608,30844.0615625,2.53125,2.78125,3.84375,3.875,3.375,3.6875,3.28125,3.21875,4,0,1,0,0,3,14
"Nyungwe",1023.16281280702,9148,10,3426,0.0277544871572046,0.849542809801795,100,"Nyungwe FR","Nyungwe Forest Reserve","Rwanda",-2.56,29.21,"",64,64,0.00022377240466382,0.245927495326894,0.908629519620852,0.644556220870253,0.185284939576896,0.0378278567699566,48064.8318880208,2.83333333333333,2.91666666666667,3.85,3.81666666666667,2.6,3.71666666666667,3.26666666666667,3.26666666666667,4,0,1,0,0,5,17
"Volcans",163.245789504213,863,10,1827,0.0475088657812541,0.795559987090621,100,"Volcans NP","Volcans National Park","Rwanda",-1.45,29.42,"",78,78,0.000304347143504904,0.245927495326894,0.867658735776319,0.667389849825053,0.184849338951742,0.0383229636047281,115617.399321581,2.82191780821918,2.94520547945205,3.83561643835616,3.82191780821918,2.58904109589041,3.6986301369863,3.19178082191781,3.15068493150685,4,0,1,0,0,5,17
"Hwange",14743.7167848176,1991,10,51153,0.0833155201264526,0.520699725887787,100,"Hwange","Hwange National Park","Zimbabwe",-19.2038771,26.6081653,"",58,58,1.15274459251802e-06,0.245927495326894,0.895161132182274,0.657142745001671,0.162725060548212,0.0289473463641043,175346.31875,2.8,2.87272727272727,3.90909090909091,3.87272727272727,3.27272727272727,3.70909090909091,3.12727272727273,3.16363636363636,4,0,1,0,0,5,17
"Mana Pools",2129.50669873554,2531,10,16322,0.111762870481282,0.551601690771105,100,"Mana Pools NP","Mana Pools National Park","Zimbabwe",-15.98,29.44,"",55,55,4.47616037360426e-06,0.245927495326894,0.917530112270582,0.669389106811047,0.164037047650702,0.0299632226421063,93987.2421363636,2.79245283018868,2.84905660377358,3.92452830188679,3.81132075471698,3.24528301886792,3.83018867924528,3.20754716981132,3.13207547169811,3.94339622641509,0,1,0,0,5,17
"Yangudi Rassa",3058.41446256855,2276,7,8947,0.0568748436327575,0.0364039547181186,100,"Yangudi-Rasa NP","Yangudi-Rasa National Park","Ethiopia",10.534,40.879,"",34,34,5.93964772102857e-08,0.245927495326894,0.914950989833668,0.624727562642294,0.157651497219226,0.0277199312404014,104906.455882353,2.73529411764706,2.94117647058824,3.82352941176471,3.91176470588235,3.14705882352941,3.88235294117647,2.93939393939394,3.27272727272727,4,0,1,0,0,4,13
"Awash",584.482024471931,652,7,1423,0.109506456975426,0.291984757868139,100,"Awash NP","Awash National Park","Ethiopia",9.2,40.2,"there is another option, Awash west which looks bigger",43,43,1.78989856414509e-06,0.245927495326894,0.869962316978784,0.630473060023619,0.164558989771978,0.030420424188892,81368.5923255814,2.67441860465116,2.93023255813953,3.86046511627907,3.86046511627907,3.16279069767442,3.83720930232558,3.18604651162791,3.23255813953488,4,0,1,0,0,5,13
"Abijatta-Shalla",922.100602172625,2279,7,3139,0.166210077240016,0.285959301572571,100,"Abijatta-Shalla Lake","Abijatta-Shalla Lakes National Park","Ethiopia",7.3,38.3,"",32,32,1.64761575256058e-06,0.245927495326894,0.917804776260901,0.64955829932375,0.172213058083742,0.032996291065896,25632.2834375,2.46875,2.65625,3.6875,3.90625,3.03125,3.9375,3.25,3.3125,4,0,1,0,0,5,14
"Omo",3902.86787001389,2280,11,26479,0.196291876169505,0.511974526441045,100,"Omo","Omo National Park","Ethiopia",5.8310333,35.8279959,"",48,48,1.42745381530143e-05,0.245927495326894,0.893929940567295,0.630748005446367,0.166366748974699,0.0316297819418662,201206.112708333,2.64444444444444,3.02222222222222,3.86666666666667,3.88888888888889,3.02222222222222,3.73333333333333,3.08888888888889,3.17777777777778,4,0,1,0,0,5,15
"Bale Mountains",2317.63386843873,2281,12,17411,0.189156369634739,0.671472820781856,100,"Bale Mountains NP","Bale Mountains National Park ","Ethiopia",6.4,39.4,"",31,31,6.40978453018084e-07,0.245927495326894,0.91909082145255,0.636490741437062,0.166435191357711,0.0325194408976995,37795.4574193548,2.54838709677419,3.06451612903226,3.80645161290323,3.80645161290323,3.06451612903226,3.74193548387097,3.2258064516129,3.29032258064516,4,0,1,0,0,5,12
"Mago",1875.24152956627,2277,11,11803,0.152692806119809,0.579943015540228,100,"Mago NP","Mago National Park","Ethiopia",5.4,36.1,"",50,50,3.97106650453068e-06,0.245927495326894,0.900771270697846,0.635224251831088,0.165996576009559,0.0314576609257253,202786.8116,2.82978723404255,3.19148936170213,3.87234042553191,3.82978723404255,3,3.74468085106383,3,3.08510638297872,4,0,1,0,0,5,15
"Manovo-Gounda-Saint Floris",19049.5000859545,2256,10,136267,0.147866530219302,0.475622363331218,100,"MonovoGoundaStFloris","Manovo-Gounda-Saint Floris National Park","Central African Republic",8.89,21.43,"",61,61,0.000148056753069856,0.245927495326894,0.917043783684344,0.657001004633734,0.178651579320604,0.0355052819035955,174388.293565574,2.75,3,3.83333333333333,3.75,2.85,3.76666666666667,3.18333333333333,2.96666666666667,4,0,1,0,0,5,16
"Manda",954.945881364573,642,10,8040,0.0675518448534432,0.404475956595096,100,"Manda NP","Manda National Park","Chad",9.32,19.97,"",48,48,1.2179546997917e-05,0.245927495326894,0.929250004728366,0.642922158290201,0.167554410265854,0.0313390398759118,62998.4116145833,2.5531914893617,2.91489361702128,3.78723404255319,3.80851063829787,2.91489361702128,3.82978723404255,3.34042553191489,3.04255319148936,4,0,1,0,0,5,15
"Zakouma",3054.91065652485,641,8,24253,0.066047452549595,0.345558693338838,100,"Zakouma NP","Zakouma National Park","Chad",10.85,19.7,"",40,40,4.80005202771697e-08,0.245927495326894,0.915773594572148,0.680049078810432,0.172835800469827,0.0340262181209006,200746.2489375,2.82051282051282,3.07692307692308,3.74358974358974,3.76923076923077,3.12820512820513,3.79487179487179,3.12820512820513,3,4,0,1,0,0,4,15
"Garamba",4970.560966862,1083,10,49962,0.131334711910282,0.50765993042303,100,"Garamba","Garamba Region","Congo, Democratic Republic of",3.8,29.5,"two options, 4327 or 1083 (going with 1083)",36,36,5.08881520219998e-06,0.245927495326894,0.970655368232547,0.644273233352637,0.183005896656359,0.0378273765580677,296205.769444444,3,3.17142857142857,3.77142857142857,3.62857142857143,3.05714285714286,3.74285714285714,3.34285714285714,2.8,4,0,1,0,0,5,14
"Bontioli",130.879062506336,4489,9,1538,0.0732403991464644,0.365318170456522,100,"Bontioli Reserve","Bontioli Total Faunal Reserve","Burkina Faso",10.86,-3.11,"",40,40,1.53588404973954e-06,0.245927495326894,0.914567023688621,0.664136872293211,0.174230395669764,0.0354058972128373,131289.9029375,2.525,2.85,3.825,3.775,3.075,3.8,3.3,2.975,4,0,1,0,0,4,14
"Singou",1935.66660503885,3229,7,6584,0.0696521142112331,0.196062997499583,100,"Singou ","Singou Total Faunal Reserve","Burkina Faso",11.64,0.98,"",38,38,3.92057823221942e-07,0.245927495326894,0.896153816583238,0.655664406022963,0.157679333004563,0.028836237710967,84287.7384210526,2.62162162162162,3.08108108108108,3.89189189189189,3.75675675675676,3.40540540540541,3.94594594594595,3.40540540540541,2.81081081081081,4,0,1,0,0,4,13
"Arly",842.751300188101,4488,9,5375,0.0757500385359782,0.200571031038392,100,"Arly","Arly Total Faunal Reserve","Burkina Faso",11.56,1.44,"",43,43,2.06514664272065e-06,0.245927495326894,0.915822997758426,0.660922516288492,0.168709813892749,0.0327256826540069,140834.653895349,2.5952380952381,2.97619047619048,3.83333333333333,3.78571428571429,3.11904761904762,3.80952380952381,3.26190476190476,2.92857142857143,4,0,1,0,0,4,15
"Madjoari",295.085396310225,9265,9,2431,0.100028038734941,0.21870503373886,100,"Madjoari","Madjoari (Total Faunal) Reserve","Burkina Faso",11.37,1.27,"",43,43,2.06514664272065e-06,0.245927495326894,0.915822997758426,0.660922516288492,0.168709813892749,0.0327256826540069,140834.653895349,2.5952380952381,2.97619047619048,3.83333333333333,3.78571428571429,3.11904761904762,3.80952380952381,3.26190476190476,2.92857142857143,4,0,1,0,0,4,15
"Siniaka-Minia",4324.81636920566,5165,8,25452,0.0494917192910002,0.379024498286761,100,"Siniaka-Minia FR","Siniaka-Minia Faunal Reserve","Chad",10.42,18.2,"",38,38,1.71656836624642e-07,0.245927495326894,0.904669949634368,0.668038331559357,0.16478506408797,0.0305019106303976,143623.49625,2.56756756756757,2.94594594594595,3.83783783783784,3.83783783783784,3.10810810810811,3.78378378378378,3.2972972972973,2.97297297297297,4,0,1,0,0,3,14
"Ouadi-Rimé-Ouadi Achim",83325.069787164,1250,6,63563,0.0177431743334455,0.022887299649284,100,"Ouadi Achim","Ouadi Achim Faunal Reserve","Chad",15.77,19,"",26,26,1.0037883534343e-07,0.245927495326894,0.916905206233937,0.687308817238612,0.141551385960161,0.0243024559110976,25014.0172115385,2.36,2.8,3.88,3.76,3.32,3.88,3.54166666666667,3.41666666666667,4,0,1,0,0,3,12
"Zemongo",13733.4708663777,2259,9,138755,0.126134693556983,0.632602814779336,100,"Zemongo","Zemongo Faunal Reserve","Central African Republic",6.59,25.25,"",64,64,0.000191287578342871,0.245927495326894,0.883121500785573,0.653172816881294,0.183459189995641,0.0373590215223972,70470.8078515625,2.66129032258065,2.93548387096774,3.79032258064516,3.7741935483871,2.7258064516129,3.7258064516129,3.29032258064516,3.2258064516129,4,0,1,0,0,5,16
"Gishwati",14.4628396538684,21416,7,252,0.0448932294287517,0.800452909251443,100,"Gishwati FR","Gishwati Forest Reserve","Rwanda",-1.75,29.42,"",67,67,0.000276347395108657,0.245927495326894,0.912684225944392,0.664922852302808,0.185159325655083,0.0376911845382052,47313.4868221393,2.82539682539683,2.90476190476191,3.80952380952381,3.80952380952381,2.57142857142857,3.71428571428571,3.3015873015873,3.25396825396825,4,0,1,0,0,5,17
